Designator,Mid X,Mid Y,Rotation,Layer
R30,91.0,-112.27,270.0,top
R31,96.7,-111.97,270.0,top
R32,96.7,-109.97,270.0,top
R33,95.6,-111.97,270.0,top
R34,71.25,-124.07,90.0,top
R35,104.5,-132.57,0.0,top
R36,104.5,-131.57,0.0,top
R37,108.0,-132.07,90.0,top
R38,85.5,-108.23,90.0,top
R39,80.3,-108.529999,90.0,top
R4,187.5,-133.5,0.0,top
R40,80.3,-110.529999,90.0,top
R41,81.4,-108.53,90.0,top
R42,105.749999,-96.43,270.0,top
R43,72.5,-87.929999,180.0,top
R44,72.5,-88.929999,180.0,top
R45,69.0,-88.429999,270.0,top
R46,139.0,-108.23,90.0,top
R47,134.2,-108.529999,90.0,top
R48,134.2,-110.529999,90.0,top
R49,135.2,-108.53,90.0,top
R5,245.0,-143.2,270.0,top
R50,159.249999,-96.43,270.0,top
R51,126.0,-87.929999,180.0,top
R52,126.0,-88.929999,180.0,top
R53,122.5,-88.429999,270.0,top
R54,120.4125,-113.725,270.0,top
R55,120.4125,-110.225,270.0,top
R56,111.0,-113.725,270.0,top
R57,111.0,-110.225,270.0,top
R58,65.95,-113.5,270.0,top
R59,65.95,-110.0,270.0,top
R6,242.0,-137.0,180.0,top
R60,56.9,-113.5,270.0,top
R61,56.9,-110.0,270.0,top
R62,194.0,-88.0,0.0,top
R63,194.01,-89.5,0.0,top
R64,122.5,-134.0,270.0,top
R65,68.5,-134.07,270.0,top
R66,108.5,-86.43,90.0,top
R67,162.0,-86.43,90.0,top
R68,132.25,-136.75,90.0,top
R69,78.25,-136.82,90.0,top
R7,242.0,-139.2,0.0,top
R70,98.75,-83.68,270.0,top
R71,152.25,-83.68,270.0,top
R72,145.5,-134.5,0.0,top
R73,91.5,-134.57,0.0,top
R74,85.5,-85.929999,180.0,top
R75,139.0,-85.929999,180.0,top
R76,155.5,-134.5,90.0,top
R77,101.5,-134.57,90.0,top
R78,75.5,-85.929999,270.0,top
R79,129.0,-85.929999,270.0,top
R8,242.0,-140.7,0.0,top
R80,199.9,-113.5,90.0,top
R81,197.6,-112.7,180.0,top
R82,152.0,-112.0,270.0,top
R83,98.0,-112.07,270.0,top
R84,78.4,-108.429999,90.0,top
R85,132.8,-109.8,90.0,top
R86,153.2,-112.0,270.0,top
R87,99.0,-112.07,270.0,top
R88,77.0,-108.429999,90.0,top
R89,131.6,-109.8,90.0,top
R9,240.8,-91.7,90.0,top
R90,243.6,-98.3,180.0,top
R91,243.6,-97.0,180.0,top
SW1,239.25,-104.78,270.0,top
U1,227.0,-89.5,0.0,top
U10,133.5,-102.929999,0.0,top
U11,127.5,-93.429999,0.0,top
U12,242.0,-144.0,90.0,top
U2,228.5,-135.6,315.0,top
U3,151.0,-117.5,180.0,top
U4,157.0,-127.0,180.0,top
U5,183.4,-88.4,180.0,top
U6,97.0,-117.57,180.0,top
U7,103.0,-127.07,180.0,top
U8,80.0,-102.929999,0.0,top
U9,74.0,-93.429999,0.0,top
Y1,237.5,-91.8,270.0,top
Y2,233.0,-133.2,135.0,top
